NAME,comm,n_serv,val,CLASS,SECTOR,Street Robbery,Theft OF Vehicle,Theft FROM Vehicle,Commercial Break & Enter,Social Disorder,Assault (Non-domestic),Residential Break & Enter,Physical Disorder,Violence Other (Non-domestic),Commercial Robbery,age_0,age_25,age_65,pop
ABBEYDALE,ABB,1,322768.9008,Residential,NORTHEAST,2,12,12,2,12,9,10,9,4,5,2006,3423,522,5951
ACADIA,ACA,2,482853.975,Residential,SOUTH,3,12,12,11,12,11,12,12,8,5,2389,6247,1883,10519
ALBERT PARK/RADISSON HEIGHTS,ALB,1,418044.4159,Residential,EAST,6,12,12,11,12,12,12,12,7,6,2090,4274,623,6987
ALTADORE,ALT,1,767906.3518,Residential,CENTRE,1,11,12,12,12,8,12,11,8,0,2144,4308,477,6929
ALYTH/BONNYBROOK,AYB,1,1924520.881,Industrial,CENTRE,0,10,10,10,12,4,0,9,0,0,0,0,0,0
ARBOUR LAKE,ARB,2,557829.2776,Residential,NORTHWEST,4,9,12,12,12,10,11,11,6,5,3095,5544,1965,10604
BANFF TRAIL,BNF,1,769406.4112,Residential,CENTRE,2,12,12,7,12,10,12,11,6,2,1458,2377,359,4194
BANKVIEW,BNK,1,384706.2399,Residential,CENTRE,4,12,12,12,12,9,11,12,4,0,876,4062,301,5239
BEDDINGTON HEIGHTS,BED,1,390845.2755,Residential,NORTH,4,12,12,1,12,8,10,12,5,1,3414,6622,1468,11504
BELTLINE,BLN,7,510333.5761,Residential,CENTRE,11,12,12,12,12,12,12,12,12,10,3451,20818,1605,25874
BONAVISTA DOWNS,BDO,1,444211.1399,Residential,SOUTH,0,5,6,2,11,1,2,3,1,0,222,574,129,925
BOWNESS,BOW,2,508798.1104,Residential,NORTHWEST,5,12,11,12,12,12,10,12,8,2,2796,6726,1629,11151
BRAESIDE,BRA,1,370748.9262,Residential,SOUTH,1,8,10,4,12,6,10,10,1,4,1516,3333,936,5785
BRENTWOOD,BRE,2,511974.9432,Residential,NORTHWEST,4,12,12,12,12,12,11,11,7,6,2393,3750,1108,7251
BRIDGELAND/RIVERSIDE,BRD,3,408751.9259,Residential,CENTRE,6,12,12,11,12,12,11,12,4,4,1223,4352,1259,6834
CALGARY INTERNATIONAL AIRPORT,CIA,1,9183096.916,Industrial,NORTHEAST,1,11,12,6,12,7,2,8,4,1,0,0,0,0
CAMBRIAN HEIGHTS,CAM,1,651549.8008,Residential,CENTRE,1,5,10,5,12,3,6,7,0,0,557,1191,284,2032
CANADA OLYMPIC PARK,COP,2,17260142.86,Major Park,WEST,0,0,3,4,6,0,0,0,0,0,0,0,0,0
CANYON MEADOWS,CAN,1,460485.5597,Residential,SOUTH,2,11,12,6,12,5,11,12,3,4,1981,4393,1232,7606
CAPITOL HILL,CAP,2,661293.5864,Residential,CENTRE,1,10,12,12,12,7,11,12,3,2,1344,2925,456,4725
CEDARBRAE,CED,2,386414.3095,Residential,SOUTH,0,10,10,2,12,2,7,12,8,0,1627,3447,1010,6084
CHAPARRAL,CHA,1,471125.7358,Residential,SOUTH,0,9,11,1,12,4,7,8,3,2,4760,6908,978,12646
CHARLESWOOD,CHW,1,669090.7421,Residential,NORTHWEST,1,9,11,4,12,4,11,7,3,0,1033,1888,635,3556
CHINATOWN,CHN,1,598611.8005,Residential,CENTRE,1,6,12,10,12,6,3,12,4,0,205,1567,695,2467
CITADEL,CIT,1,420665.2079,Residential,NORTHWEST,0,6,9,5,12,4,10,8,4,0,3313,5907,864,10084
CLIFF BUNGALOW,CLI,1,637880.704,Residential,CENTRE,1,10,12,12,12,11,9,12,5,0,291,1437,143,1871
COPPERFIELD,CPF,1,314390.1029,Residential,SOUTHEAST,1,9,12,5,12,3,7,9,5,2,4935,8407,477,13819
COUNTRY HILLS VILLAGE,CHV,1,248789.505,Residential,NORTH,8,10,10,12,12,11,4,9,6,0,449,1320,820,2589
